"country","year","militaryexpenditures","lifeExp","GDPpercap","GDP","HIV","healthcare","womenEd","menEd"
"Greece",1989,3.39078728889475,76.66,19566045.3428237,197411575354329,NA,NA,7.2,8.4
"Guatemala",1989,1.53686362847917,64.02,2866489.40895746,24999883859474.6,NA,NA,2.2,3.2
"Guinea-Bissau",1989,2.07221108806257,51.09,352092.122001142,350866841416.578,NA,NA,0.4,1.5
"Guyana",1989,1.20038729605497,64.01,1252493.03905537,911999048909.048,NA,NA,6.4,7.4
"Hungary",1989,3.08956236617246,69.53,8940427.54416856,93711049257835,NA,NA,9.2,9.6
"India",1989,3.42678501264241,57.93,612343.457686742,523986802365706,NA,NA,1.6,4.2
"Indonesia",1989,0.855877409082751,63.55,1105273.794758,200273267324432,NA,NA,3,5
"Iran",1989,2.41027478381451,64.43,2314113.82994168,123661082598242,NA,NA,2.2,4.3
"Ireland",1989,1.00926408045563,75.87,25973596.7040448,NA,NA,NA,9.1,8.9
"Israel",1989,13.2758475408522,76.24,29508964.1042798,133321499823136,NA,NA,10,10.6
"Italy",1989,2.22721256261691,76.94,32580664.2721404,1846404270465264,NA,NA,7.6,8.7
"Jamaica",1989,0.533495810285893,74.83,6102560.42075174,14492970743243.3,NA,NA,7.5,7.6
"Japan",1989,0.928537952547232,78.97,65081003.383077,8012512812510920,NA,NA,10.3,10.6
"Jordan",1989,9.27448252603179,71.2,3324097.95714374,10158443357031.2,NA,NA,4,7
"Kenya",1989,2.75991011953351,62,893922.747267634,20238719315237.8,NA,NA,2.5,4.9
"South Korea",1989,4.19053527060777,71.29,12780025.1625641,541617466389468,NA,NA,NA,NA
"Kuwait",1989,8.53994849249626,76.92,NA,NA,NA,NA,3.6,4.8
"Lesotho",1989,5.76119245241926,59.92,588663.148400556,947386229751.778,NA,NA,4.9,3.7
"Luxembourg",1989,0.763239969952611,74.49,62444082.2707966,23549747787961.2,NA,NA,8.5,9.8
"Madagascar",1989,1.21084069374614,55.43,578173.750877412,6332959619410.98,NA,NA,2.1,3.1
"Malawi",1989,1.43338956559339,48.64,259870.789082806,2352149298122.16,NA,NA,1.5,3.6
"Malaysia",1989,2.62370173042603,71.54,4891818.58285772,86608860426704.2,NA,NA,4.1,6
"Mali",1989,2.29508205986205,49.47,390189.6023664,3321815578841.16,NA,NA,0.4,1
"Malta",1989,1.0057801068697,76.84,12663613.7153895,4441407929488.86,NA,NA,NA,NA
"Mauritania",1989,3.92556150540875,59.25,1019074.73478109,1979960302206.18,NA,NA,0.5,1.5
"Mauritius",1989,0.288802925698616,68.99,4849353.23290458,5086588353169.16,NA,NA,3.9,5.4
"Mexico",1989,0.517255853879605,71.09,9517458.04790174,786774536466172,NA,NA,4.7,5.7
"Mongolia",1989,7.92105014102422,61.98,1095713.2690334,2354523458161.28,NA,NA,6.4,7.5
"Morocco",1989,4.33556488419329,67.06,2297793.5596,56350790542748.6,NA,NA,1,2.6
"Mozambique",1989,3.41683470894129,51.08,369900.477779042,4948565581775.8,NA,NA,0.7,2.1
"Myanmar",1989,2.96793022751057,57.26,NA,NA,NA,NA,2.7,3.7
"Nepal",1989,1.10676718681737,57.53,346474.109028816,6452798597211.06,NA,NA,0.4,2.3
"Netherlands",1989,2.67417067271156,76.82,36451787.8974736,541269208473310,NA,NA,9,9.8
"New Zealand",1989,1.85682921682227,75.05,23461504.7514214,77404196475889.2,NA,NA,9.7,9.8
"Nigeria",1989,0.578300561485361,53.98,679635.347136,64656086575471.2,NA,NA,1.6,3.9
"Norway",1989,2.91015709214252,76.52,54297690.8178032,229510963615464,NA,NA,10.7,11.2
"Oman",1989,16.6777666777667,71.41,14101729.5151597,25338297830888.2,NA,NA,2,3.8
"Pakistan",1989,6.62557057289434,61.78,885722.071476224,96208409500696.8,NA,NA,0.9,3.1
"Panama",1989,2.08695652173913,74.62,5543509.26919362,13121115025060.2,NA,NA,7.2,7.1
"Papua New Guinea",1989,1.49719276356831,55.7,1197886.63919824,4860099213381,NA,NA,1.4,2.9
"Paraguay",1989,1.19781274975611,73.91,2782051.25526572,11499750748254.9,NA,NA,5,5.4
"Peru",1989,0.262336719903553,68.14,3581952.86547074,76093932088200.6,NA,NA,5.4,7.2
"Philippines",1989,2.24292339676955,67.34,1973235.16486247,118595654158252,NA,NA,6.9,7.2
"Poland",1989,1.8171261178495,71.25,NA,NA,NA,NA,10.1,10.5
"Portugal",1989,2.43633721799179,74.58,16840377.2782453,168487974668845,NA,NA,4.5,5.2
"Romania",1989,4.75,69.99,4023852.98718344,93198301960823.6,NA,NA,8.8,9.9
"Russia",1989,23.3856897095097,69.57,5386195.79069606,795654228397412,NA,NA,9.5,10
"Rwanda",1989,1.71197252447335,50.23,480271.154278614,3428759176157.66,NA,NA,1.1,2.5
"Saudi Arabia",1989,13.3902791216407,73.39,17056961.6499887,266093957625782,NA,NA,1.8,5.2
"Senegal",1989,1.9453093664912,57.41,989780.478327756,6973672384579.24,NA,NA,0.6,1.8
"Seychelles",1989,4.22745548535325,69.22,10645762.0106356,738683296959.728,NA,NA,7.2,6.4
"Sierra Leone",1989,1.03397608633813,51.98,499308.406646944,1963189281497.37,NA,NA,0.6,1.8
"Singapore",1989,4.49157523510972,74.51,29812466.78216,87380340138510.8,NA,NA,4.2,6.1
"Somalia",1989,0.750697102648745,48.98,NA,NA,NA,NA,0.4,1.6
"South Africa",1989,3.77548911709291,61.69,6453849.53901602,222596827001490,NA,NA,5.2,5.9
"Spain",1989,1.93700286424523,76.89,21878261.501724,848689990331070,NA,NA,5.3,6
"Sri Lanka",1989,1.78648701223942,70.32,1097289.14835123,18461889921009.5,NA,NA,6,7.1
"Swaziland",1989,1.37870659358944,60.5,2257830.4944082,1883017085353.47,NA,NA,3.5,4.2
"Sweden",1989,2.46304521263473,77.67,46875327.559263,398110469449028,NA,NA,10.3,10.4
"Switzerland",1989,1.65231327487345,77.68,66672435.784721,433613054555898,NA,NA,10.7,12.2
"Syria",1989,7.42010198789623,70.14,1827757.18442016,21871443274240.2,NA,NA,2.1,4.5
