"country","year","militaryexpenditures","lifeExp","GDPpercap","lit","HIV","HC"
"Saudi Arabia",1990,14.0242921328123,73.9,17860751.0303965,NA,NA,NA
"Senegal",1990,2.01099815614978,57.8,954006.831327122,NA,"0.2",NA
"Seychelles",1990,4.02623150831173,69.1,11290831.6255307,NA,NA,NA
"Sierra Leone",1990,1.3914581342874,51.6,509587.336450078,NA,"0.06",NA
"Singapore",1990,4.63982406741809,74.9,31575805.1254206,89.095996713555,"0.06",NA
"South Africa",1990,3.69303299697908,62,6303677.22806472,NA,"0.7",NA
"Spain",1990,1.73776756674328,76.9,22671105.1785544,NA,"0.4",NA
"Sri Lanka",1990,2.33075603510429,70.5,1154478.45289181,NA,"0.06",NA
"Sudan",1990,2.5762043900848,58.9,528409.38532,NA,"0.1",NA
"Swaziland",1990,1.3037125841821,60.7,2640706.33141034,NA,"2.3",NA
"Sweden",1990,2.52419573922727,77.6,46984499.2014286,NA,"0.1",NA
"Switzerland",1990,1.70280248636757,77.5,68416230.8329356,NA,"0.2",NA
"Syria",1990,6.41006529322322,70.5,1910286.34085899,NA,NA,NA
"Tanzania",1990,2.04648408015958,55.2,609281.10536,NA,"4.8",NA
"Thailand",1990,2.66539049959013,71,2781040.42281424,NA,"1",NA
"Togo",1990,3.1164045426154,57.8,568856.819473272,NA,"0.6",NA
"Tunisia",1990,2.01558845012343,71.8,3322586.2992173,NA,"0.06",NA
"Turkey",1990,3.53635397325906,68.1,6896002.8126979,79.2324526145933,"0.06",NA
"Uganda",1990,3.33636925975488,50.7,372103.746655062,NA,"10.2",NA
"United Kingdom",1990,3.84580988737171,75.7,40174099.474643,NA,"0.1",NA
"United States",1990,5.32395492801002,75.4,56596893.902474,NA,"0.5",NA
"Uruguay",1990,3.5310971495862,73,10507885.8050559,NA,"0.1",NA
"Vietnam",1990,7.91085725497747,69.3,454975.731703326,NA,"0.06",NA
"Yemen",1990,6.55591451628165,58.5,929674.086912348,NA,NA,NA
"Zambia",1990,3.70566443127361,51.9,774585.610056806,64.9982642112334,"12.7",NA
"Zimbabwe",1990,4.63821049264977,63,1073995.42672078,NA,"10.1",NA
"Algeria",1991,1.23149796248609,70.5,3533321.67760838,NA,"0.06",NA
"Angola",1991,7.05625104968622,49.3,714621.6950647,NA,"0.8",NA
"Argentina",1991,1.42013727576134,72.7,12406891.3243805,96.1281958552696,"0.3",NA
"Australia",1991,2.14885407953405,77.4,34540657.3966206,NA,"0.1",NA
"Austria",1991,1.15930695287425,75.8,39310731.3266234,NA,"0.06",NA
"Bahrain",1991,5.13913704237621,72,20402233.637976,84.013829627317,NA,NA
"Bangladesh",1991,1.09221947939824,56.4,565558.080945656,35.3192956177543,"0.06",NA
"Belgium",1991,2.22407144746446,76.2,38021331.4801724,NA,"0.1",NA
"Belize",1991,1.06808604081891,71.2,5332547.67839318,70.2984226365169,"0.7",NA
"Bolivia",1991,2.69703396480583,62.2,1792394.12924438,NA,"0.1",NA
"Botswana",1991,4.36596305241038,62,4874829.6628324,68.5809087315753,"5.1",NA
"Brazil",1991,1.99051191741157,68.1,6695622.94646864,NA,"0.45",NA
"Brunei",1991,6.63017982799062,73.8,38252957.761758,87.8041776069017,NA,NA
"Bulgaria",1991,3.0213706705969,71.3,3090115.80868036,NA,"0.06",NA
"Burkina Faso",1991,1.83171301872718,51.4,354220.536151682,13.5692319572406,"4",NA
"Burundi",1991,3.68101633804944,45.4,373909.686492844,NA,"4.5",NA
"Cameroon",1991,1.50889166023511,58.2,1244470.86281334,NA,"1",NA
"Canada",1991,1.89548081538796,77.6,37787609.9359866,NA,"0.2",NA
"Central African Republic",1991,1.53798388562428,48.1,538747.513605832,NA,"4.6",NA
"Chile",1991,3.94652598795225,74.1,6505162.1008738,NA,"0.06",NA
"China",1991,2.44703073709341,67,843778.349635522,NA,NA,NA
"Colombia",1991,2.2101607794291,71.1,4664723.76158904,NA,"0.3",NA
"Cote d'Ivoire",1991,1.3749800181066,54.9,1282414.57987371,NA,"3.3",NA
"Cuba",1991,6.51073069424541,74.8,5916655.34438704,NA,"0.06",NA
"Cyprus",1991,7.26477616181254,76.4,20971563.49,NA,NA,NA
"Denmark",1991,1.95468015000635,75.4,48696028.0696846,NA,"0.06",NA
